review_id,order_id,review_score,review_creation_ts
rev_00000,ord_00001,4,2025-11-20 23:45:36.000000000
rev_00001,ord_00003,4,2024-11-13 01:26:24.000000000
rev_00002,ord_00005,3,2024-07-11 16:33:35.999999999
rev_00003,ord_00006,5,2025-04-19 10:48:00.000000000
rev_00004,ord_00007,5,2025-08-06 18:43:12.000000000
rev_00005,ord_00008,3,2025-10-14 00:57:36.000000000
rev_00006,ord_00009,5,2025-11-10 01:55:12.000000000
rev_00007,ord_00011,5,2025-07-14 14:52:48.000000000
rev_00008,ord_00015,4,2024-06-20 17:45:36.000000000
rev_00009,ord_00016,2,2025-09-26 22:04:48.000000000
rev_00010,ord_00017,4,2025-01-11 19:26:24.000000000
rev_00011,ord_00020,4,2025-05-28 00:14:24.000000000
rev_00012,ord_00021,3,2025-04-15 02:09:36.000000000
rev_00013,ord_00024,1,2024-02-18 12:14:24.000000000
rev_00014,ord_00025,4,2024-09-28 08:52:48.000000000
rev_00015,ord_00026,5,2024-10-13 09:21:36.000000000
rev_00016,ord_00028,2,2025-06-27 02:09:36.000000000
rev_00017,ord_00029,5,2024-06-15 13:12:00.000000000
rev_00018,ord_00030,5,2025-05-03 13:40:47.999999999
rev_00019,ord_00031,4,2025-11-13 13:26:24.000000000
rev_00020,ord_00032,4,2024-06-13 06:14:24.000000000
rev_00021,ord_00033,5,2025-05-31 14:09:36.000000000
rev_00022,ord_00036,4,2025-07-24 19:40:48.000000000
rev_00023,ord_00040,4,2024-07-14 07:12:00.000000000
rev_00024,ord_00043,1,2024-06-08 17:45:36.000000000
rev_00025,ord_00046,4,2024-04-30 05:31:12.000000000
rev_00026,ord_00048,4,2025-02-13 17:31:12.000000000
rev_00027,ord_00049,3,2025-08-01 07:55:12.000000000
rev_00028,ord_00050,2,2024-07-14 09:21:36.000000000
rev_00029,ord_00051,4,2024-05-07 15:07:12.000000000
rev_00030,ord_00052,5,2025-07-27 20:24:00.000000000
rev_00031,ord_00054,4,2024-08-15 11:45:36.000000000
rev_00032,ord_00056,3,2025-02-20 02:24:00.000000000
rev_00033,ord_00057,5,2024-10-17 08:09:36.000000000
rev_00034,ord_00058,3,2025-08-25 09:07:12.000000000
rev_00035,ord_00060,2,2025-03-04 04:19:12.000000000
rev_00036,ord_00061,4,2025-08-13 19:55:12.000000000
