order_id,payment_type,payment_installments,payment_value
ord_00000,cod,1,9257.51
ord_00001,wallet,1,8368.65
ord_00002,upi,1,1026.01
ord_00003,upi,1,8047.24
ord_00004,debit_card,1,1242.28
ord_00005,upi,1,4110.4
ord_00006,upi,1,1081.11
ord_00007,credit_card,1,3639.74
ord_00008,credit_card,5,11017.32
ord_00009,upi,1,1023.24
ord_00010,debit_card,1,1082.47
ord_00011,debit_card,1,2114.42
ord_00012,credit_card,3,6127.81
ord_00013,cod,1,7898.48
ord_00014,credit_card,1,1625.02
ord_00015,upi,1,9583.46
ord_00016,upi,1,4034.21
ord_00017,credit_card,3,1653.9
ord_00018,debit_card,1,12120.55
ord_00019,upi,1,869.31
ord_00020,credit_card,5,19689.34
ord_00021,upi,1,1083.28
ord_00022,upi,1,414.18
ord_00023,credit_card,6,899.98
ord_00024,credit_card,4,4906.35
ord_00025,upi,1,5205.24
ord_00026,credit_card,4,2350.69
ord_00027,upi,1,5748.16
ord_00028,debit_card,1,9558.54
ord_00029,upi,1,1058.72
ord_00030,cod,1,1924.51
ord_00031,upi,1,703.65
ord_00032,credit_card,6,6449.61
ord_00033,upi,1,1984.36
ord_00034,upi,1,2140.99
ord_00035,credit_card,6,491.88
ord_00036,upi,1,9874.87
ord_00037,wallet,1,870.66
ord_00038,upi,1,12135.44
ord_00039,upi,1,5989.34
ord_00040,credit_card,1,3658.41
ord_00041,credit_card,4,683.25
ord_00042,upi,1,2702.77
ord_00043,upi,1,16137.88
ord_00044,upi,1,13950.19
ord_00045,debit_card,1,7731.8
ord_00046,credit_card,2,2347.95
ord_00047,credit_card,6,5584.39
ord_00048,upi,1,7790.1
ord_00049,credit_card,2,3254.3
ord_00050,cod,1,5260.18
ord_00051,cod,1,10495.6
ord_00052,debit_card,1,759.74
ord_00053,upi,1,14635.39
ord_00054,upi,1,480.35
ord_00055,credit_card,4,1491.44
ord_00056,debit_card,1,490.67
ord_00057,credit_card,3,8954.37
ord_00058,upi,1,1135.79
ord_00059,upi,1,1540.78
ord_00060,cod,1,2899.04
ord_00061,debit_card,1,25200.63
ord_00062,upi,1,23215.1
ord_00063,wallet,1,849.95
ord_00064,wallet,1,8158.27
