order_id,order_item_id,product_id,seller_id,price,freight_value
ord_00000,1,prod_00144,sell_00096,4348.7,278.92
ord_00000,2,prod_00096,sell_00047,3656.21,311.73
ord_00000,3,prod_00199,sell_00141,541.58,120.37
ord_00001,1,prod_00329,sell_00099,7064.94,262.41
ord_00001,2,prod_00305,sell_00050,880.32,160.98
ord_00002,1,prod_00200,sell_00127,387.72,101.67
ord_00002,2,prod_00256,sell_00153,424.24,112.38
ord_00003,1,prod_00287,sell_00173,7302.01,227.85
ord_00003,2,prod_00362,sell_00124,376.47,140.91
ord_00004,1,prod_00570,sell_00046,1128.46,113.82
ord_00005,1,prod_00254,sell_00115,2920.97,248.37
ord_00005,2,prod_00238,sell_00043,853.43,87.63
ord_00006,1,prod_00433,sell_00049,1011.21,69.9
ord_00007,1,prod_00474,sell_00098,1625.02,223.4
ord_00007,2,prod_00397,sell_00049,1645.2,146.12
ord_00008,1,prod_00481,sell_00094,373.14,97.62
ord_00008,2,prod_00263,sell_00116,3754.5,220.47
ord_00008,3,prod_00167,sell_00138,6319.89,251.7
ord_00009,1,prod_00505,sell_00146,276.8,110.58
ord_00009,2,prod_00581,sell_00035,495.94,139.92
ord_00010,1,prod_00010,sell_00138,907.9,174.57
ord_00011,1,prod_00176,sell_00155,777.88,150.01
ord_00011,2,prod_00588,sell_00055,1021.69,164.84
ord_00012,1,prod_00016,sell_00153,5847.31,280.5
ord_00013,1,prod_00328,sell_00179,6367.44,289.98
ord_00013,2,prod_00380,sell_00105,1046.46,194.6
ord_00014,1,prod_00130,sell_00119,1514.35,110.67
ord_00015,1,prod_00023,sell_00080,7493.27,1155.57
ord_00015,2,prod_00467,sell_00147,786.96,147.66
ord_00016,1,prod_00207,sell_00090,1963.61,160.58
ord_00016,2,prod_00281,sell_00054,1774.1,135.92
ord_00017,1,prod_00104,sell_00023,1551.33,102.57
ord_00018,1,prod_00594,sell_00176,10180.26,191.58
ord_00018,2,prod_00218,sell_00177,685.12,99.69
ord_00018,3,prod_00305,sell_00050,802.92,160.98
ord_00019,1,prod_00099,sell_00061,684.39,184.92
ord_00020,1,prod_00388,sell_00025,8442.29,205.08
ord_00020,2,prod_00094,sell_00146,9134.21,236.4
ord_00020,3,prod_00206,sell_00041,1575.72,95.64
ord_00021,1,prod_00433,sell_00049,1013.38,69.9
ord_00022,1,prod_00067,sell_00015,272.55,141.63
ord_00023,1,prod_00099,sell_00061,715.06,184.92
ord_00024,1,prod_00591,sell_00103,1242.95,95.82
ord_00024,2,prod_00028,sell_00174,2384.74,1182.84
ord_00025,1,prod_00293,sell_00159,4979.1,226.14
ord_00026,1,prod_00047,sell_00167,1724.41,129.84
ord_00026,2,prod_00548,sell_00007,375.42,121.02
ord_00027,1,prod_00369,sell_00094,5528.23,219.93
ord_00028,1,prod_00306,sell_00167,636.12,97.26
ord_00028,2,prod_00023,sell_00080,7669.59,1155.57
ord_00029,1,prod_00513,sell_00100,983.51,75.21
ord_00030,1,prod_00012,sell_00072,1804.93,119.58
ord_00031,1,prod_00006,sell_00174,549.24,154.41
ord_00032,1,prod_00195,sell_00008,5301.87,1147.74
ord_00033,1,prod_00017,sell_00009,1890.61,93.75
ord_00034,1,prod_00156,sell_00057,2026.0,114.99
ord_00035,1,prod_00566,sell_00027,382.74,109.14
ord_00036,1,prod_00487,sell_00177,1981.19,204.32
ord_00036,2,prod_00276,sell_00059,6198.84,1490.52
ord_00037,1,prod_00176,sell_00155,759.54,111.12
ord_00038,1,prod_00123,sell_00022,1524.34,138.21
ord_00038,2,prod_00304,sell_00036,6938.09,250.71
ord_00038,3,prod_00254,sell_00115,3035.72,248.37
ord_00039,1,prod_00574,sell_00168,5755.46,233.88
ord_00040,1,prod_00172,sell_00115,2115.83,139.29
ord_00040,2,prod_00429,sell_00117,1265.26,138.03
