id,question,correct,note,answer,steps,self_corrections,seconds,llm_calls,tokens,error
q01,What was total revenue in Q3 2025?,True,"expected ~16,973,396.42","    revenue
16973396.42",1,1,13.7,2,2704,
q02,How many orders were placed in 2025?,False,"expected ~15,808.00"," orders_2025
       16387",1,1,11.2,2,2691,
q03,Which product category generated the most revenue overall?,True,expected 'electronics',"product_category     revenue
     electronics 67137202.77",1,0,0.9,1,1193,
q04,Which customer region generated the most revenue in 2025?,True,expected 'south',"customer_region     revenue
          South 19168777.11",1,2,20.0,3,4620,
q05,What is the average order value in Q2 2025?,True,"expected ~4,386.70"," avg_order_value
          4386.7",1,2,26.7,3,4458,
q06,What was the average review score for orders delivered late?,True,expected ~2.61," avg_review_score_for_late_orders
                             2.61",1,0,9.4,1,1215,
q07,Which payment type is used most often?,True,expected 'upi',"payment_type  payment_count
         upi          11443
 credit_card           8388
  debit_card           3571
         cod           3557
      wallet           3041",1,0,7.9,1,1165,
q08,In which quarter was the late delivery rate highest?,True,expected '2025-07',"   quarter  late_delivery_rate
2025-07-01              0.5785",1,0,3.7,1,1243,
q09,Which product category had the largest revenue decline from Q2 2025 to Q3 2025?,True,expected 'electronics',"product_category  revenue_q2_2025  revenue_q3_2025  revenue_decline
     electronics      10862801.96       8602842.75       2259959.21",1,0,4.3,1,1418,
q10,Which region saw the biggest drop in electronics revenue in Q3 2025 versus Q2 2025?,False,expected 'south'," region  revenue_drop
Central      61383.47",1,0,10.9,1,1339,
q11,What was the overall cancellation rate in Q3 2025?,True,expected ~0.06," cancellation_rate
            0.0648",1,0,9.7,1,1247,
q12,How many distinct customers placed at least one order in Q4 2025?,True,"expected ~2,479.00"," distinct_customers
               2515",1,1,13.6,2,2789,
q13,"Compare the average review score of the seller tier with the highest late delivery rate against the tier with the lowest.
",True,expected 'gold',"seller_tier  avg_review_score  late_delivery_rate
       gold              3.79              0.3099
     silver              3.80              0.3084",1,1,16.0,2,3278,
q14,"Among customers acquired through paid_search, what was their total revenue in Q3 2025?
",True,"expected ~4,458,542.96","   revenue
4458542.96",1,0,11.2,1,1263,
q15,"What share of the total Q3 2025 revenue decline versus Q2 2025 is explained by the South region electronics category alone? Give the rupee amount of that segment's decline.
",True,"expected ~1,459,117.60"," south_electronics_decline_rupees
                        1459117.6",1,1,15.3,2,4398,
q16,"Did the electronics cancellation rate change between Q2 2025 and Q3 2025? Give the Q3 rate.
",False,expected ~0.15," q3_cancellation_rate
               0.7279",1,0,5.7,1,1307,
d01,Why did revenue drop in Q3 2025?,False,"missing: electronics, South, cancel","   quarter     revenue         gmv  orders_count     aov  units_sold  freight_ratio  avg_review_score  late_delivery_rate  active_customers
2024-01-01 12150253.16 13087851.20          2838 4281.27        4755         0.0772              3.89              0.2834              2035
2024-04-01 16332695.84 17574098.03          3715 4396.42        6193         0.0760              3.86              0.2987              2415
2024-07-01 15264055.97 16460865.32          3512 4346.26        5872         0.0",1,1,10.0,2,3538,
d02,What caused the decline in customer review scores in Q3 2025?,True,all facts present,"   quarter  avg_review_score     aov  freight_ratio  late_delivery_rate  cancellation_rate
2025-04-01              3.85 4386.70         0.0746              0.2818                0.0
2025-07-01              3.35 4124.76         0.1078              0.5557                0.0",1,0,2.6,1,1463,
d03,"Our shipping costs spiked in Q3 2025. Investigate what drove this and whether it was concentrated in any segment.
",False,missing: Q3,"   quarter customer_region acquisition_channel    revenue        gmv   freight  freight_ratio  orders_count
2025-07-01           South           affiliate  262700.27  296928.37  34228.10         0.1303            77
2025-07-01           South              social  841218.29  948390.66 107172.37         0.1274           208
2025-07-01           South         paid_search 1121886.73 1258786.36 136899.63         0.1220           306
2025-07-01            East              social  620799.44  696058.39",1,0,12.1,1,1424,
d04,"Revenue in Q3 2025 fell versus Q2. Was this a demand problem or a fulfilment problem? Justify with numbers.
",False,"missing: cancel, electronics","   quarter     revenue         gmv  freight_ratio
2025-04-01 19599755.55 21062045.67         0.0746
2025-07-01 16973396.42 18802679.74         0.1078",1,1,4.6,2,3137,
