product_id,product_category,list_price,product_weight_g,seller_id
prod_00000,home_decor,1061.86,722.0,sell_00145
prod_00001,beauty,687.01,78.0,sell_00076
prod_00002,electronics,5277.09,1881.0,sell_00135
prod_00003,beauty,700.77,663.0,sell_00127
prod_00004,fashion,881.6,709.0,sell_00092
prod_00005,books,368.7,773.0,sell_00018
prod_00006,toys,529.68,1049.0,sell_00174
prod_00007,electronics,7616.25,1924.0,sell_00008
prod_00008,electronics,6898.77,1807.0,sell_00064
prod_00009,fashion,477.64,944.0,sell_00115
prod_00010,beauty,943.26,1273.0,sell_00138
prod_00011,fashion,1032.13,875.0,sell_00096
prod_00012,sports,1901.91,662.0,sell_00072
prod_00013,fashion,1394.36,730.0,sell_00073
prod_00014,grocery,390.21,677.0,sell_00175
prod_00015,fashion,1548.6,606.0,sell_00060
prod_00016,electronics,5832.75,2450.0,sell_00153
prod_00017,home_decor,1906.87,375.0,sell_00009
prod_00018,beauty,730.12,946.0,sell_00118
prod_00019,home_decor,1648.74,562.0,sell_00122
prod_00020,home_decor,1597.78,156.0,sell_00121
prod_00021,home_decor,2007.96,544.0,sell_00075
prod_00022,books,501.0,436.0,sell_00124
prod_00023,furniture,7604.72,12173.0,sell_00080
prod_00024,home_decor,1085.78,627.0,sell_00106
prod_00025,electronics,6386.81,1493.0,sell_00160
prod_00026,fashion,807.36,1041.0,sell_00121
prod_00027,home_decor,884.43,927.0,sell_00132
prod_00028,furniture,2296.63,12476.0,sell_00174
prod_00029,fashion,503.53,671.0,sell_00039
prod_00030,sports,3050.81,589.0,sell_00105
prod_00031,grocery,269.58,811.0,sell_00118
prod_00032,sports,2999.18,427.0,sell_00125
prod_00033,home_decor,1597.55,639.0,sell_00023
prod_00034,beauty,687.81,547.0,sell_00136
prod_00035,fashion,522.27,162.0,sell_00034
prod_00036,fashion,1101.8,638.0,sell_00073
prod_00037,furniture,14960.38,11868.0,sell_00128
prod_00038,home_decor,2163.24,527.0,sell_00047
prod_00039,fashion,1205.58,709.0,sell_00022
prod_00040,electronics,3886.78,2182.0,sell_00121
prod_00041,electronics,4322.45,1545.0,sell_00050
prod_00042,beauty,491.11,499.0,sell_00148
prod_00043,books,578.94,370.0,sell_00161
prod_00044,sports,2827.98,351.0,sell_00062
prod_00045,home_decor,1495.99,422.0,sell_00132
prod_00046,electronics,5810.49,1741.0,sell_00040
prod_00047,fashion,1696.25,776.0,sell_00167
prod_00048,fashion,723.25,696.0,sell_00044
prod_00049,books,407.26,283.0,sell_00158
prod_00050,sports,2091.67,988.0,sell_00141
prod_00051,grocery,244.31,883.0,sell_00056
prod_00052,toys,699.69,330.0,sell_00148
prod_00053,fashion,825.21,967.0,sell_00113
prod_00054,sports,2692.54,698.0,sell_00120
prod_00055,books,668.01,553.0,sell_00068
prod_00056,furniture,9361.6,12107.0,sell_00042
prod_00057,fashion,996.74,592.0,sell_00125
prod_00058,sports,1422.1,764.0,sell_00009
prod_00059,fashion,1100.67,656.0,sell_00062
prod_00060,books,322.97,499.0,sell_00025
prod_00061,grocery,338.11,50.0,sell_00000
prod_00062,grocery,400.62,758.0,sell_00001
prod_00063,electronics,5577.91,1688.0,sell_00016
prod_00064,electronics,6068.69,2033.0,sell_00169
prod_00065,books,374.04,745.0,sell_00138
prod_00066,sports,1599.94,496.0,sell_00178
prod_00067,grocery,295.92,907.0,sell_00015
prod_00068,home_decor,1773.48,661.0,sell_00179
prod_00069,toys,342.22,649.0,sell_00107
prod_00070,sports,2791.8,559.0,sell_00142
prod_00071,electronics,6808.33,2305.0,sell_00154
prod_00072,electronics,7887.79,1586.0,sell_00047
prod_00073,sports,2256.8,503.0,sell_00133
prod_00074,electronics,4889.17,1429.0,sell_00116
prod_00075,toys,611.98,818.0,sell_00074
prod_00076,beauty,447.09,425.0,sell_00088
prod_00077,fashion,1004.88,459.0,sell_00037
prod_00078,home_decor,1742.61,445.0,sell_00033
prod_00079,furniture,7161.15,12019.0,sell_00166
prod_00080,books,485.11,225.0,sell_00131
prod_00081,books,99.0,50.0,sell_00101
prod_00082,books,346.02,737.0,sell_00124
prod_00083,beauty,985.95,50.0,sell_00072
prod_00084,grocery,329.06,856.0,sell_00044
prod_00085,beauty,496.86,1068.0,sell_00169
prod_00086,beauty,539.07,551.0,sell_00178
prod_00087,home_decor,99.0,990.0,sell_00038
prod_00088,home_decor,904.22,593.0,sell_00144
prod_00089,books,548.01,1080.0,sell_00079
prod_00090,home_decor,1114.52,463.0,sell_00127
prod_00091,books,334.96,50.0,sell_00019
prod_00092,furniture,1654.79,11976.0,sell_00086
prod_00093,fashion,472.13,1112.0,sell_00022
prod_00094,electronics,9207.36,1960.0,sell_00146
prod_00095,sports,2188.9,445.0,sell_00071
prod_00096,electronics,3548.33,1899.0,sell_00047
prod_00097,toys,701.37,891.0,sell_00125
prod_00098,beauty,692.85,574.0,sell_00171
prod_00099,fashion,639.49,1388.0,sell_00061
prod_00100,beauty,208.98,445.0,sell_00129
prod_00101,fashion,1038.7,901.0,sell_00124
prod_00102,home_decor,1680.58,829.0,sell_00088
prod_00103,home_decor,1690.01,390.0,sell_00144
prod_00104,fashion,1436.97,473.0,sell_00023
prod_00105,grocery,159.69,905.0,sell_00157
prod_00106,electronics,6631.73,1843.0,sell_00072
prod_00107,home_decor,1268.46,701.0,sell_00008
prod_00108,electronics,6301.57,1309.0,sell_00178
prod_00109,fashion,1018.46,797.0,sell_00139
prod_00110,electronics,4997.48,1886.0,sell_00146
prod_00111,books,99.0,581.0,sell_00026
prod_00112,electronics,9143.16,1908.0,sell_00135
prod_00113,sports,2007.89,477.0,sell_00125
prod_00114,home_decor,672.7,422.0,sell_00162
prod_00115,fashion,1282.16,527.0,sell_00066
prod_00116,electronics,5482.38,1661.0,sell_00166
prod_00117,books,341.34,1254.0,sell_00127
prod_00118,furniture,6579.49,12274.0,sell_00045
prod_00119,home_decor,1663.1,309.0,sell_00038
prod_00120,furniture,6480.56,12611.0,sell_00162
prod_00121,home_decor,862.55,470.0,sell_00116
prod_00122,beauty,977.28,609.0,sell_00021
prod_00123,sports,1687.3,869.0,sell_00022
prod_00124,electronics,6164.47,1209.0,sell_00148
prod_00125,fashion,1366.6,529.0,sell_00030
prod_00126,electronics,4981.24,1628.0,sell_00039
prod_00127,sports,1505.06,662.0,sell_00110
prod_00128,fashion,1217.7,711.0,sell_00155
prod_00129,grocery,161.18,577.0,sell_00060
prod_00130,home_decor,1508.34,563.0,sell_00119
prod_00131,grocery,257.43,920.0,sell_00126
prod_00132,electronics,8446.2,1890.0,sell_00108
prod_00133,beauty,833.93,612.0,sell_00123
prod_00134,home_decor,1603.13,644.0,sell_00040
prod_00135,electronics,2844.17,2351.0,sell_00111
prod_00136,electronics,6264.78,1852.0,sell_00000
prod_00137,sports,1058.32,446.0,sell_00131
prod_00138,home_decor,1381.94,50.0,sell_00142
prod_00139,beauty,132.76,170.0,sell_00142
prod_00140,furniture,4146.38,11860.0,sell_00005
prod_00141,home_decor,1982.63,567.0,sell_00164
prod_00142,electronics,7339.6,1633.0,sell_00078
prod_00143,electronics,5695.07,1905.0,sell_00014
prod_00144,electronics,4432.61,1629.0,sell_00096
prod_00145,fashion,682.56,326.0,sell_00102
prod_00146,books,428.02,784.0,sell_00072
prod_00147,home_decor,1231.62,1011.0,sell_00134
prod_00148,electronics,10018.62,1468.0,sell_00097
prod_00149,sports,1683.6,673.0,sell_00039
prod_00150,home_decor,1428.77,50.0,sell_00111
prod_00151,beauty,359.82,158.0,sell_00047
prod_00152,grocery,305.81,423.0,sell_00021
prod_00153,home_decor,1486.73,940.0,sell_00048
prod_00154,fashion,956.48,366.0,sell_00163
prod_00155,toys,747.03,355.0,sell_00103
prod_00156,sports,2005.95,611.0,sell_00057
prod_00157,books,612.08,611.0,sell_00065
prod_00158,books,420.3,364.0,sell_00154
prod_00159,beauty,980.33,1196.0,sell_00119
prod_00160,beauty,852.29,520.0,sell_00139
prod_00161,books,551.81,634.0,sell_00109
prod_00162,sports,1415.88,479.0,sell_00178
prod_00163,sports,1669.64,732.0,sell_00118
prod_00164,fashion,1021.93,970.0,sell_00072
prod_00165,toys,1072.08,1099.0,sell_00045
prod_00166,home_decor,1788.28,371.0,sell_00008
prod_00167,electronics,6784.5,2130.0,sell_00138
prod_00168,home_decor,1829.59,765.0,sell_00167
prod_00169,home_decor,1123.97,892.0,sell_00119
prod_00170,sports,2357.79,572.0,sell_00087
prod_00171,home_decor,1897.75,544.0,sell_00023
prod_00172,sports,2226.82,881.0,sell_00115
prod_00173,fashion,1151.66,886.0,sell_00036
prod_00174,electronics,8122.81,2270.0,sell_00111
prod_00175,home_decor,961.94,660.0,sell_00054
prod_00176,beauty,748.6,568.0,sell_00155
prod_00177,books,442.07,50.0,sell_00168
prod_00178,fashion,588.14,117.0,sell_00042
prod_00179,home_decor,1632.55,482.0,sell_00058
prod_00180,home_decor,788.08,270.0,sell_00165
