seller_id,seller_city,seller_region,seller_tier,onboarded_date
sell_00000,Kolkata,East,bronze,2024-03-02
sell_00001,Bengaluru,South,gold,2023-09-21
sell_00002,Delhi,North,silver,2024-03-15
sell_00003,Raipur,Central,gold,2025-05-09
sell_00004,Chandigarh,North,bronze,2024-05-16
sell_00005,Hyderabad,South,silver,2024-12-05
sell_00006,Bengaluru,South,bronze,2024-02-17
sell_00007,Nagpur,Central,bronze,2024-12-22
sell_00008,Pune,West,silver,2024-12-28
sell_00009,Chennai,South,bronze,2024-06-14
sell_00010,Raipur,Central,gold,2025-08-22
sell_00011,Chandigarh,North,bronze,2025-06-21
sell_00012,Bhopal,Central,bronze,2023-05-15
sell_00013,Delhi,North,silver,2023-07-28
sell_00014,Chennai,South,silver,2025-09-13
sell_00015,Delhi,North,silver,2024-01-30
sell_00016,Bhopal,Central,silver,2023-10-25
sell_00017,Bhopal,Central,bronze,2025-03-27
sell_00018,Kolkata,East,bronze,2024-09-01
sell_00019,Bengaluru,South,silver,2023-04-18
sell_00020,Chennai,South,bronze,2023-03-05
sell_00021,Chennai,South,bronze,2025-04-09
sell_00022,Bengaluru,South,silver,2025-02-22
sell_00023,Delhi,North,silver,2023-12-09
sell_00024,Bhubaneswar,East,bronze,2025-06-06
sell_00025,Kolkata,East,bronze,2023-04-10
sell_00026,Raipur,Central,bronze,2025-06-13
sell_00027,Chennai,South,gold,2023-02-19
sell_00028,Chennai,South,silver,2024-10-07
sell_00029,Kolkata,East,gold,2025-05-17
sell_00030,Bengaluru,South,gold,2024-09-19
sell_00031,Kolkata,East,silver,2025-03-09
sell_00032,Pune,West,bronze,2023-11-29
sell_00033,Delhi,North,silver,2023-10-01
sell_00034,Hyderabad,South,bronze,2023-09-07
sell_00035,Mumbai,West,silver,2023-03-31
sell_00036,Bhubaneswar,East,silver,2023-09-19
sell_00037,Bhubaneswar,East,bronze,2023-08-18
sell_00038,Pune,West,bronze,2025-02-13
sell_00039,Guwahati,East,silver,2023-07-12
sell_00040,Chandigarh,North,bronze,2023-05-23
sell_00041,Ahmedabad,West,silver,2025-01-19
sell_00042,Bhopal,Central,gold,2024-06-24
sell_00043,Lucknow,North,silver,2023-07-15
sell_00044,Chandigarh,North,bronze,2024-12-21
sell_00045,Pune,West,silver,2023-07-16
sell_00046,Bhubaneswar,East,bronze,2025-03-16
sell_00047,Hyderabad,South,silver,2022-12-31
sell_00048,Kolkata,East,silver,2024-08-19
sell_00049,Pune,West,bronze,2024-08-26
sell_00050,Kolkata,East,silver,2023-12-30
sell_00051,Chandigarh,North,silver,2024-12-03
sell_00052,Delhi,North,gold,2024-01-07
sell_00053,Chennai,South,silver,2024-10-26
sell_00054,Bhopal,Central,silver,2023-07-24
sell_00055,Kolkata,East,gold,2024-07-27
sell_00056,Chennai,South,silver,2025-02-13
sell_00057,Bhopal,Central,gold,2025-09-25
sell_00058,Chennai,South,silver,2023-12-17
sell_00059,Kolkata,East,silver,2024-04-15
sell_00060,Lucknow,North,silver,2024-04-19
sell_00061,Ahmedabad,West,silver,2025-06-04
sell_00062,Pune,West,bronze,2025-09-21
sell_00063,Mumbai,West,silver,2024-10-18
sell_00064,Bengaluru,South,gold,2025-04-24
sell_00065,Hyderabad,South,silver,2023-02-25
sell_00066,Lucknow,North,gold,2025-02-16
sell_00067,Raipur,Central,silver,2025-04-11
sell_00068,Chandigarh,North,bronze,2024-12-30
sell_00069,Bhubaneswar,East,silver,2024-08-13
sell_00070,Mumbai,West,silver,2025-07-16
sell_00071,Delhi,North,bronze,2024-10-26
sell_00072,Hyderabad,South,gold,2025-05-20
sell_00073,Chandigarh,North,bronze,2023-06-07
sell_00074,Bhubaneswar,East,bronze,2024-11-07
sell_00075,Nagpur,Central,silver,2024-03-09
sell_00076,Bengaluru,South,gold,2025-06-13
sell_00077,Raipur,Central,gold,2025-06-26
sell_00078,Lucknow,North,bronze,2025-05-18
sell_00079,Hyderabad,South,silver,2023-07-15
sell_00080,Nagpur,Central,bronze,2024-05-06
sell_00081,Raipur,Central,silver,2022-11-27
sell_00082,Chennai,South,silver,2025-10-10
sell_00083,Bhubaneswar,East,silver,2023-08-29
sell_00084,Bhopal,Central,silver,2024-09-25
sell_00085,Ahmedabad,West,silver,2024-05-01
sell_00086,Kolkata,East,bronze,2025-07-21
sell_00087,Lucknow,North,silver,2025-04-23
sell_00088,Chandigarh,North,bronze,2025-03-07
sell_00089,Kolkata,East,bronze,2024-10-15
sell_00090,Bhubaneswar,East,gold,2023-04-03
sell_00091,Bengaluru,South,silver,2025-08-06
sell_00092,Chennai,South,gold,2023-02-02
sell_00093,Bengaluru,South,silver,2024-03-28
sell_00094,Guwahati,East,bronze,2024-01-06
sell_00095,Chennai,South,bronze,2024-01-19
sell_00096,Chennai,South,bronze,2025-10-07
sell_00097,Lucknow,North,silver,2023-08-01
sell_00098,Pune,West,silver,2024-08-08
sell_00099,Bhubaneswar,East,silver,2023-07-18
sell_00100,Delhi,North,bronze,2025-07-29
sell_00101,Chennai,South,gold,2025-01-22
sell_00102,Hyderabad,South,gold,2024-02-13
sell_00103,Guwahati,East,gold,2023-02-20
sell_00104,Bhubaneswar,East,gold,2023-05-09
sell_00105,Kolkata,East,gold,2023-08-13
sell_00106,Guwahati,East,gold,2024-02-04
sell_00107,Delhi,North,bronze,2025-07-01
sell_00108,Bengaluru,South,bronze,2023-04-03
sell_00109,Lucknow,North,silver,2024-08-05
sell_00110,Hyderabad,South,bronze,2023-12-03
sell_00111,Hyderabad,South,silver,2023-01-15
sell_00112,Pune,West,bronze,2024-09-19
sell_00113,Lucknow,North,silver,2024-12-19
sell_00114,Guwahati,East,silver,2025-09-18
sell_00115,Bengaluru,South,silver,2024-05-22
sell_00116,Hyderabad,South,gold,2023-11-10
sell_00117,Ahmedabad,West,silver,2025-05-29
sell_00118,Delhi,North,bronze,2023-08-18
sell_00119,Hyderabad,South,bronze,2024-11-26
sell_00120,Chennai,South,silver,2025-09-01
sell_00121,Ahmedabad,West,silver,2022-12-01
sell_00122,Chennai,South,bronze,2025-08-12
sell_00123,Bhopal,Central,gold,2023-07-05
sell_00124,Bhopal,Central,gold,2024-04-25
sell_00125,Pune,West,silver,2023-08-30
sell_00126,Hyderabad,South,silver,2023-04-30
sell_00127,Guwahati,East,silver,2024-12-17
sell_00128,Delhi,North,gold,2024-04-25
sell_00129,Raipur,Central,silver,2024-05-24
sell_00130,Bhubaneswar,East,bronze,2024-04-27
sell_00131,Chandigarh,North,bronze,2025-02-03
sell_00132,Bengaluru,South,bronze,2025-09-25
sell_00133,Pune,West,silver,2024-05-28
sell_00134,Nagpur,Central,bronze,2023-05-12
sell_00135,Guwahati,East,bronze,2023-11-12
sell_00136,Bhubaneswar,East,silver,2024-05-10
sell_00137,Pune,West,silver,2023-03-17
sell_00138,Pune,West,silver,2023-07-30
sell_00139,Pune,West,silver,2023-07-01
