customer_id,customer_city,customer_region,signup_date,acquisition_channel
cust_00000,Pune,West,2024-12-21,paid_search
cust_00001,Hyderabad,South,2024-11-14,email
cust_00002,Mumbai,West,2024-02-20,organic
cust_00003,Bhubaneswar,East,2024-03-24,organic
cust_00004,Lucknow,North,2025-02-20,social
cust_00005,Raipur,Central,2025-02-02,social
cust_00006,Pune,West,2025-01-23,paid_search
cust_00007,Mumbai,West,2024-04-19,email
cust_00008,Delhi,North,2024-12-22,email
cust_00009,Chennai,South,2024-02-12,paid_search
cust_00010,Chennai,South,2024-04-10,affiliate
cust_00011,Bhopal,Central,2024-12-15,social
cust_00012,Kolkata,East,2025-03-07,social
cust_00013,Pune,West,2025-04-03,paid_search
cust_00014,Hyderabad,South,2025-11-18,organic
cust_00015,Bengaluru,South,2025-08-20,organic
cust_00016,Bhubaneswar,East,2024-09-22,social
cust_00017,Delhi,North,2025-07-01,social
cust_00018,Mumbai,West,2024-03-07,organic
cust_00019,Bhubaneswar,East,2025-08-23,social
cust_00020,Mumbai,West,2024-09-27,organic
cust_00021,Bengaluru,South,2025-06-16,organic
cust_00022,Raipur,Central,2025-11-10,affiliate
cust_00023,Bhopal,Central,2025-05-07,paid_search
cust_00024,Mumbai,West,2025-10-06,organic
cust_00025,Hyderabad,South,2024-01-08,paid_search
cust_00026,Chennai,South,2024-04-29,paid_search
cust_00027,Delhi,North,2025-03-14,social
cust_00028,Chandigarh,North,2025-01-13,affiliate
cust_00029,Bhubaneswar,East,2024-03-25,paid_search
cust_00030,Mumbai,West,2025-05-17,paid_search
cust_00031,Nagpur,Central,2024-02-11,paid_search
cust_00032,Chennai,South,2025-11-24,paid_search
cust_00033,Bengaluru,South,2024-04-19,organic
cust_00034,Hyderabad,South,2024-11-07,organic
cust_00035,Chennai,South,2025-07-30,email
cust_00036,Lucknow,North,2024-12-25,paid_search
cust_00037,Bengaluru,South,2025-06-04,paid_search
cust_00038,Bengaluru,South,2025-05-07,organic
cust_00039,Guwahati,East,2025-10-26,email
cust_00040,Hyderabad,South,2024-11-20,organic
cust_00041,Mumbai,West,2025-11-16,paid_search
cust_00042,Ahmedabad,West,2024-12-27,email
cust_00043,Bengaluru,South,2025-09-17,paid_search
cust_00044,Pune,West,2025-05-27,affiliate
cust_00045,Mumbai,West,2024-04-03,organic
cust_00046,Chennai,South,2025-03-26,social
cust_00047,Hyderabad,South,2025-09-06,affiliate
cust_00048,Guwahati,East,2024-03-30,paid_search
cust_00049,Lucknow,North,2025-08-10,social
cust_00050,Bengaluru,South,2024-03-14,paid_search
cust_00051,Lucknow,North,2025-09-01,social
cust_00052,Pune,West,2025-07-06,email
cust_00053,Bhubaneswar,East,2024-04-16,social
cust_00054,Ahmedabad,West,2025-05-23,affiliate
cust_00055,Pune,West,2024-03-22,paid_search
cust_00056,Chennai,South,2025-02-01,paid_search
cust_00057,Bhubaneswar,East,2025-10-08,organic
cust_00058,Chandigarh,North,2024-05-24,social
cust_00059,Lucknow,North,2024-05-01,email
cust_00060,Bhubaneswar,East,2024-10-23,social
cust_00061,Chennai,South,2024-09-15,organic
cust_00062,Kolkata,East,2024-02-03,paid_search
cust_00063,Pune,West,2024-11-15,social
cust_00064,Guwahati,East,2024-06-30,affiliate
cust_00065,Bhubaneswar,East,2024-03-28,organic
cust_00066,Kolkata,East,2024-07-12,organic
cust_00067,Chennai,South,2024-01-15,paid_search
cust_00068,Lucknow,North,2025-10-02,organic
cust_00069,Bengaluru,South,2025-11-26,affiliate
cust_00070,Bengaluru,South,2024-09-14,paid_search
cust_00071,Chennai,South,2025-09-05,paid_search
cust_00072,Pune,West,2024-11-18,organic
